1788273525.162443158 POLL pid=140655 state=DEAD
1788273525.665175007 POLL pid=140655 state=DEAD
1788273526.168444055 POLL pid=140655 state=DEAD
1788273526.670734179 POLL pid=140655 state=DEAD
1788273527.173181940 POLL pid=140655 state=DEAD
1788273527.675833092 POLL pid=140655 state=DEAD
1788273528.178181193 POLL pid=140655 state=DEAD
1788273528.680835768 POLL pid=140655 state=DEAD
1788273529.183502928 POLL pid=140655 state=DEAD
1788273529.686323386 POLL pid=140655 state=DEAD
1788273530.188571374 POLL pid=140655 state=DEAD
1788273530.690910310 POLL pid=140655 state=DEAD
1788273531.058303029 POSTCHECK +90s pid=140655 state=DEAD
1788273531.193716527 POLL pid=140655 state=DEAD
1788273531.696345998 POLL pid=140655 state=DEAD
1788273532.199102692 POLL pid=140655 state=DEAD
1788273532.701828748 POLL pid=140655 state=DEAD
1788273533.204224635 POLL pid=140655 state=DEAD
1788273533.707006067 POLL pid=140655 state=DEAD
1788273534.209730691 POLL pid=140655 state=DEAD
1788273534.712730779 POLL pid=140655 state=DEAD
1788273535.215237377 POLL pid=140655 state=DEAD
1788273535.717784062 POLL pid=140655 state=DEAD
1788273536.220585852 POLL pid=140655 state=DEAD
1788273536.723587328 POLL pid=140655 state=DEAD
1788273537.226128151 POLL pid=140655 state=DEAD
1788273537.728452127 POLL pid=140655 state=DEAD
1788273538.230563824 POLL pid=140655 state=DEAD
1788273538.733137787 POLL pid=140655 state=DEAD
1788273539.235948295 POLL pid=140655 state=DEAD
1788273539.739345197 POLL pid=140655 state=DEAD
1788273540.241949337 POLL pid=140655 state=DEAD
1788273540.744323307 POLL pid=140655 state=DEAD
1788273541.246362227 POLL pid=140655 state=DEAD
1788273541.748391373 POLL pid=140655 state=DEAD
1788273542.250683243 POLL pid=140655 state=DEAD
1788273542.753220092 POLL pid=140655 state=DEAD
1788273543.255846322 POLL pid=140655 state=DEAD
1788273543.757945966 POLL pid=140655 state=DEAD
1788273544.259934061 POLL pid=140655 state=DEAD
1788273544.762020877 POLL pid=140655 state=DEAD
1788273545.264673695 POLL pid=140655 state=DEAD
1788273545.767756548 POLL pid=140655 state=DEAD
1788273546.270121835 POLL pid=140655 state=DEAD
1788273546.772683986 POLL pid=140655 state=DEAD
1788273547.274871718 POLL pid=140655 state=DEAD
1788273547.777333038 POLL pid=140655 state=DEAD
1788273548.280029980 POLL pid=140655 state=DEAD
1788273548.782279076 POLL pid=140655 state=DEAD
1788273549.285452283 POLL pid=140655 state=DEAD
1788273549.787995688 POLL pid=140655 state=DEAD
1788273550.290175925 POLL pid=140655 state=DEAD
1788273550.792552216 POLL pid=140655 state=DEAD
1788273551.294596105 POLL pid=140655 state=DEAD
1788273551.797018378 POLL pid=140655 state=DEAD
1788273552.300511176 POLL pid=140655 state=DEAD
1788273552.804438414 POLL pid=140655 state=DEAD
1788273553.306780006 POLL pid=140655 state=DEAD
1788273553.808880714 POLL pid=140655 state=DEAD
1788273554.310976752 POLL pid=140655 state=DEAD
1788273554.813174754 POLL pid=140655 state=DEAD
1788273555.315883008 POLL pid=140655 state=DEAD
1788273555.818504797 POLL pid=140655 state=DEAD
1788273556.320737153 POLL pid=140655 state=DEAD
1788273556.822870282 POLL pid=140655 state=DEAD
1788273557.325531365 POLL pid=140655 state=DEAD
1788273557.827944721 POLL pid=140655 state=DEAD
1788273558.330684977 POLL pid=140655 state=DEAD
1788273558.833777935 POLL pid=140655 state=DEAD
1788273559.336407450 POLL pid=140655 state=DEAD
1788273559.838788530 POLL pid=140655 state=DEAD
1788273560.341381449 POLL pid=140655 state=DEAD
1788273560.843862749 POLL pid=140655 state=DEAD
1788273561.062344818 POSTCHECK +120s pid=140655 state=DEAD
1788273561.346191880 POLL pid=140655 state=DEAD
1788273561.848942444 POLL pid=140655 state=DEAD
1788273562.351828315 POLL pid=140655 state=DEAD
1788273562.854719959 POLL pid=140655 state=DEAD
1788273563.357216498 POLL pid=140655 state=DEAD
1788273563.859398831 POLL pid=140655 state=DEAD
1788273564.361536930 POLL pid=140655 state=DEAD
1788273564.864306104 POLL pid=140655 state=DEAD
1788273565.366956078 POLL pid=140655 state=DEAD
