1788273834.223249164 POLL pid=142788 state=DEAD
1788273834.725474610 POLL pid=142788 state=DEAD
1788273835.227627289 POLL pid=142788 state=DEAD
1788273835.730364895 POLL pid=142788 state=DEAD
1788273836.233182118 POLL pid=142788 state=DEAD
1788273836.736666476 POLL pid=142788 state=DEAD
1788273837.239740783 POLL pid=142788 state=DEAD
1788273837.742243606 POLL pid=142788 state=DEAD
1788273838.245229856 POLL pid=142788 state=DEAD
1788273838.748459952 POLL pid=142788 state=DEAD
1788273839.251296323 POLL pid=142788 state=DEAD
1788273839.754929182 POLL pid=142788 state=DEAD
1788273840.258330247 POLL pid=142788 state=DEAD
1788273840.761277366 POLL pid=142788 state=DEAD
1788273841.263822465 POLL pid=142788 state=DEAD
1788273841.766424271 POLL pid=142788 state=DEAD
1788273842.269084031 POLL pid=142788 state=DEAD
1788273842.771454302 POLL pid=142788 state=DEAD
1788273843.274721048 POLL pid=142788 state=DEAD
1788273843.777324540 POLL pid=142788 state=DEAD
1788273844.280005017 POLL pid=142788 state=DEAD
1788273844.782249839 POLL pid=142788 state=DEAD
1788273845.284831467 POLL pid=142788 state=DEAD
1788273845.787352702 POLL pid=142788 state=DEAD
1788273846.289674851 POLL pid=142788 state=DEAD
1788273846.792401344 POLL pid=142788 state=DEAD
1788273847.294992667 POLL pid=142788 state=DEAD
1788273847.797812631 POLL pid=142788 state=DEAD
1788273848.301542993 POLL pid=142788 state=DEAD
1788273848.804104957 POLL pid=142788 state=DEAD
1788273849.307959823 POLL pid=142788 state=DEAD
1788273849.811417152 POLL pid=142788 state=DEAD
1788273850.314671749 POLL pid=142788 state=DEAD
1788273850.819804599 POLL pid=142788 state=DEAD
1788273851.323216536 POLL pid=142788 state=DEAD
1788273851.826477546 POLL pid=142788 state=DEAD
1788273852.330971109 POLL pid=142788 state=DEAD
1788273852.834013203 POLL pid=142788 state=DEAD
1788273853.337134539 POLL pid=142788 state=DEAD
1788273853.839814714 POLL pid=142788 state=DEAD
1788273854.342102422 POLL pid=142788 state=DEAD
1788273854.844356872 POLL pid=142788 state=DEAD
1788273855.347162547 POLL pid=142788 state=DEAD
1788273855.850343837 POLL pid=142788 state=DEAD
1788273856.353217757 POLL pid=142788 state=DEAD
1788273856.856542464 POLL pid=142788 state=DEAD
1788273857.359937872 POLL pid=142788 state=DEAD
1788273857.862994377 POLL pid=142788 state=DEAD
1788273858.366539967 POLL pid=142788 state=DEAD
1788273858.813149216 POSTCHECK +120s pid= state=DEAD
